Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Total_Cost,Profit,Sales_Channel,Payment_Method,Customer_Rating
ORD-00001,2025-04-25,C1302,Consumer,West,Calgary,Accessories,Headset,1,90.4,0.1,81.36,38.0,43.36,Online,Credit Card,5
ORD-00002,2025-01-31,C1112,Consumer,West,Vancouver,Accessories,Mouse,2,40.17,0.1,72.31,28.0,44.31,Online,PayPal,
ORD-00003,2025-01-07,C1049,Consumer,West,Calgary,Furniture,Standing Desk,1,527.59,0,527.59,330.0,197.59,Partner,PayPal,5
ORD-00004,2025-09-28,C1316,Corporate,West,Calgary,Electronics,Webcam,2,123.94,0.05,235.49,110.0,125.49,Online,Debit Card,5
ORD-00005,2025-03-13,C1232,Corporate,West,Calgary,Accessories,Mouse,4,39.51,0.15,134.33,56.0,78.33,Partner,Debit Card,5
ORD-00006,2026-01-15,C1125,Small Business,Central,Toronto,Accessories,Headset,3,90.3,0.1,243.81,114.0,129.81,Online,Bank Transfer,4
ORD-00007,2026-01-24,C1412,Consumer,Central,Winnipeg,Accessories,USB-C Hub,1,82.56,0,82.56,31.0,51.56,Retail Store,Bank Transfer,5
ORD-00008,2025-10-02,C1234,Consumer,West,Vancouver,Electronics,Printer,5,208.28,0,1041.4,560.0,481.4,Retail Store,PayPal,4
ORD-00009,2025-05-23,C1070,Small Business,West,Calgary,Accessories,USB-C Hub,2,78.89,0.05,149.89,62.0,87.89,Online,Credit Card,
ORD-00010,2025-02-18,C1270,Consumer,West,Vancouver,Accessories,Keyboard,4,73.46,0,293.84,112.0,181.84,Online,Credit Card,5
ORD-00011,2025-04-28,C1369,Consumer,East,Halifax,Accessories,Headset,4,85.52,0,342.08,152.0,190.08,Online,Debit Card,5
ORD-00012,2026-06-04,C1398,Consumer,West,Calgary,Accessories,Headset,5,86.94,0,434.7,190.0,244.7,Online,PayPal,3
ORD-00013,2026-05-16,C1040,Corporate,West,Vancouver,Furniture,Office Chair,5,342.46,0,1712.3,925.0,787.3,Online,Bank Transfer,4
ORD-00014,2025-03-12,C1108,Corporate,East,Montreal,Accessories,Keyboard,3,70.74,0.05,201.61,84.0,117.61,Online,PayPal,4
ORD-00015,2026-02-13,C1301,Consumer,East,Halifax,Furniture,Office Chair,2,324.65,0,649.3,370.0,279.3,Online,Debit Card,4
ORD-00016,2025-01-08,C1342,Corporate,West,Calgary,Electronics,Laptop,1,876.41,0,876.41,620.0,256.41,Partner,Debit Card,
ORD-00017,2025-05-16,C1220,Small Business,East,Halifax,Electronics,Printer,2,191.93,0,383.86,224.0,159.86,Retail Store,Bank Transfer,5
ORD-00018,2026-02-25,C1441,Corporate,Central,Winnipeg,Electronics,Laptop,3,885.53,0.05,2523.76,1860.0,663.76,Online,Debit Card,4
ORD-00019,2025-07-16,C1413,Consumer,West,Calgary,Electronics,Webcam,1,114.9,0.15,97.67,55.0,42.67,Online,Credit Card,4
ORD-00020,2025-01-16,C1001,Consumer,West,Vancouver,Accessories,Keyboard,2,67.64,0.15,114.99,56.0,58.99,Partner,PayPal,5
ORD-00021,2026-04-11,C1376,Consumer,Central,Ottawa,Accessories,USB-C Hub,3,76.46,0,229.38,93.0,136.38,Online,PayPal,3
ORD-00022,2025-02-28,C1095,Corporate,West,Calgary,Electronics,Webcam,2,114.95,0.2,183.92,110.0,73.92,Online,Credit Card,4
ORD-00023,2025-08-29,C1267,Small Business,Central,Toronto,Electronics,Printer,1,201.66,0.05,191.58,112.0,79.58,Retail Store,PayPal,5
ORD-00024,2025-07-29,C1384,Consumer,East,Halifax,Furniture,Office Chair,1,323.92,0,323.92,185.0,138.92,Retail Store,Credit Card,4
ORD-00025,2026-04-15,C1450,Consumer,East,Halifax,Electronics,Monitor,1,259.51,0.15,220.58,145.0,75.58,Online,PayPal,4
ORD-00026,2025-10-19,C1418,Small Business,West,Victoria,Accessories,USB-C Hub,3,76.05,0.1,205.33,93.0,112.33,Partner,Credit Card,5
ORD-00027,2025-05-18,C1351,Consumer,Central,Toronto,Electronics,Monitor,3,246.06,0,738.18,435.0,303.18,Online,Bank Transfer,5
ORD-00028,2025-09-15,C1082,Consumer,West,Vancouver,Furniture,Standing Desk,4,576.38,0,2305.52,1320.0,985.52,Online,Bank Transfer,
ORD-00029,2025-01-10,C1157,Corporate,West,Vancouver,Accessories,Keyboard,2,67.38,0,134.76,56.0,78.76,Retail Store,Credit Card,5
ORD-00030,2026-01-02,C1383,Consumer,West,Calgary,Accessories,Mouse,3,41.88,0.15,106.79,42.0,64.79,Retail Store,Debit Card,4
ORD-00031,2025-06-16,C1376,Corporate,West,Victoria,Electronics,Laptop,1,915.28,0.05,869.52,620.0,249.52,Retail Store,PayPal,4
ORD-00032,2025-06-13,C1156,Corporate,East,Montreal,Furniture,Standing Desk,5,547.81,0.1,2465.14,1650.0,815.14,Online,Debit Card,4
ORD-00033,2025-01-25,C1204,Corporate,East,Montreal,Furniture,Standing Desk,1,557.77,0,557.77,330.0,227.77,Partner,Credit Card,5
ORD-00034,2025-04-29,C1160,Consumer,Central,Toronto,Electronics,Printer,8,204.56,0.05,1554.66,896.0,658.66,Online,Credit Card,5
ORD-00035,2026-01-30,C1379,Consumer,East,Montreal,Accessories,Headset,1,91.67,0.1,82.5,38.0,44.5,Retail Store,PayPal,4
ORD-00036,2026-03-18,C1341,Small Business,West,Calgary,Furniture,Office Chair,3,330.23,0.15,842.09,555.0,287.09,Online,PayPal,5
ORD-00037,2026-02-17,C1315,Consumer,East,Quebec City,Accessories,USB-C Hub,1,83.21,0.1,74.89,31.0,43.89,Partner,Bank Transfer,5
ORD-00038,2025-01-01,C1109,Small Business,Central,Ottawa,Accessories,Mouse,2,39.76,0.05,75.54,28.0,47.54,Retail Store,Debit Card,
ORD-00039,2025-03-28,C1101,Corporate,Central,Winnipeg,Electronics,Printer,1,194.48,0.1,175.03,112.0,63.03,Retail Store,Credit Card,4
ORD-00040,2025-02-17,C1356,Consumer,West,Victoria,Electronics,Printer,5,193.88,0.1,872.46,560.0,312.46,Online,Bank Transfer,5
ORD-00041,2026-02-14,C1411,Corporate,West,Vancouver,Electronics,Laptop,6,874.69,0.1,4723.33,3720.0,1003.33,Partner,Credit Card,
ORD-00042,2025-09-13,C1226,Small Business,West,Victoria,Accessories,Keyboard,4,73.14,0.05,277.93,112.0,165.93,Partner,Bank Transfer,5
ORD-00043,2025-06-12,C1320,Consumer,East,Quebec City,Electronics,Webcam,1,120.25,0.1,108.23,55.0,53.23,Retail Store,PayPal,4
ORD-00044,2026-03-27,C1196,Consumer,West,Calgary,Accessories,Headset,1,86.85,0,86.85,38.0,48.85,Partner,Debit Card,4
ORD-00045,2025-03-07,C1299,Consumer,Central,Ottawa,Furniture,Office Chair,2,343.35,0.05,652.37,370.0,282.37,Online,Bank Transfer,3
ORD-00046,2026-05-04,C1279,Corporate,West,Victoria,accessories,Headset,4,92.22,0.05,350.44,152.0,198.44,Partner,Bank Transfer,4
ORD-00047,2025-08-13,C1239,Consumer,Central,Ottawa,Electronics,Webcam,1,115.97,0.05,110.17,55.0,55.17,Retail Store,Credit Card,4
ORD-00048,2026-02-08,C1167,Consumer,East,Halifax,Electronics,Laptop,1,878.4,0,878.4,620.0,258.4,Partner,Bank Transfer,4
ORD-00049,2025-12-01,C1026,Corporate,Central,Ottawa,Accessories,Headset,6,85.66,0,513.96,228.0,285.96,Online,Debit Card,5
ORD-00050,2025-03-12,C1342,Consumer,East,Montreal,Electronics,Laptop,8,866.35,0,6930.8,4960.0,1970.8,Online,Debit Card,4
ORD-00051,2026-04-22,C1159,Small Business,East,Quebec City,Furniture,Office Chair,1,340.53,0,340.53,185.0,155.53,Retail Store,Credit Card,4
ORD-00052,2025-11-16,C1356,Small Business,East,Halifax,Furniture,Standing Desk,2,556.99,0.1,1002.58,660.0,342.58,Online,Credit Card,5
ORD-00053,2025-02-12,C1250,Consumer,Central,Winnipeg,Furniture,Standing Desk,3,545.59,0,1636.77,990.0,646.77,Retail Store,Bank Transfer,4
ORD-00054,2026-01-06,C1275,Small Business,East,Quebec City,Accessories,Keyboard,2,72.15,0,144.3,56.0,88.3,Partner,Bank Transfer,
ORD-00055,2026-03-23,C1384,Consumer,East,Halifax,Accessories,Headset,1,89.55,0,89.55,38.0,51.55,Partner,Bank Transfer,
ORD-00056,2025-12-11,C1450,Consumer,West,Victoria,Furniture,Office Chair,3,342.54,0,1027.62,555.0,472.62,Retail Store,Credit Card,5
ORD-00057,2026-06-14,C1251,Consumer,West,Vancouver,Accessories,Mouse,3,40.57,0.1,109.54,42.0,67.54,Retail Store,Credit Card,
ORD-00058,2025-04-06,C1217,Consumer,Central,Toronto,Furniture,Standing Desk,3,551.69,0.05,1572.32,990.0,582.32,Retail Store,PayPal,5
ORD-00059,2026-04-10,C1353,Small Business,Central,Ottawa,Accessories,Headset,1,94.05,0.1,84.64,38.0,46.64,Online,Debit Card,4
ORD-00060,2025-08-10,C1099,Corporate,East,Quebec City,Accessories,Headset,3,86.4,0,259.2,114.0,145.2,Retail Store,Debit Card,5
ORD-00061,2026-01-05,C1064,Consumer,West,Victoria,Electronics,Laptop,3,881.28,0,2643.84,1860.0,783.84,Online,Credit Card,
ORD-00062,2025-01-13,C1058,Consumer,East,Quebec City,Electronics,Webcam,2,124.33,0,248.66,110.0,138.66,Partner,Bank Transfer,4
ORD-00063,2026-05-19,C1285,Corporate,West, Calgary,Electronics,Laptop,1,877.33,0,877.33,620.0,257.33,Partner,Debit Card,5
ORD-00064,2026-06-20,C1378,Small Business,Central,Ottawa,Electronics,Webcam,1,114.71,0.05,108.97,55.0,53.97,Online,Debit Card,4
ORD-00065,2025-08-05,C1304,Consumer,Central,Winnipeg,Electronics,Monitor,1,248.75,0,248.75,145.0,103.75,Online,PayPal,
ORD-00066,2025-02-03,C1320,Consumer,West,Victoria,Accessories,Headset,3,92.58,0.15,236.08,114.0,122.08,Retail Store,Bank Transfer,4
ORD-00067,2025-04-28,C1383,Corporate,East,Montreal,Accessories,Keyboard,6,68.64,0,411.84,168.0,243.84,Online,Bank Transfer,5
ORD-00068,2025-05-08,C1020,Corporate,Central,Winnipeg,Accessories,Headset,3,86.21,0.05,245.7,114.0,131.7,Retail Store,PayPal,5
ORD-00069,2025-09-14,C1344,Corporate,West,Vancouver,Accessories,Mouse,8,41.99,0.2,268.74,112.0,156.74,Retail Store,Credit Card,5
ORD-00070,2025-06-29,C1046,Consumer,Central,Winnipeg,Electronics,Webcam,6,119.89,0.1,647.41,330.0,317.41,Retail Store,PayPal,
ORD-00071,2026-02-23,C1416,Consumer,Central,Ottawa,Electronics,Monitor,5,261.12,0,1305.6,725.0,580.6,Retail Store,Bank Transfer,3
ORD-00072,2025-04-01,C1445,Small Business,Central,Ottawa,Furniture,Office Chair,1,313.53,0.15,266.5,185.0,81.5,Partner,Bank Transfer,
ORD-00073,2025-02-25,C1067,Consumer,West,Calgary,Furniture,Office Chair,3,322.3,0,966.9,555.0,411.9,Online,Bank Transfer,5
ORD-00074,2026-05-12,C1115,Small Business,West,Vancouver,Electronics,Printer,4,198.15,0,792.6,448.0,344.6,Online,Bank Transfer,4
ORD-00075,2025-05-01,C1241,Consumer,East,Montreal,Electronics,Webcam,8,119.78,0.05,910.33,440.0,470.33,Retail Store,Bank Transfer,4
ORD-00076,2025-05-29,C1212,Corporate,Central,Toronto,Electronics,Printer,2,205.79,0,411.58,224.0,187.58,Partner,PayPal,5
ORD-00077,2025-01-03,C1247,Small Business,Central,Winnipeg,Accessories,Headset,5,89.51,0.15,380.42,190.0,190.42,Retail Store,PayPal,5
ORD-00078,2026-01-22,C1162,Consumer,Central,Ottawa,Accessories,Mouse,10,39.63,0.15,336.86,140.0,196.86,Online,Bank Transfer,
ORD-00079,2026-01-31,C1447,Consumer,East,Halifax,Accessories,Keyboard,2,72.58,0.05,137.9,56.0,81.9,Retail Store,Credit Card,
ORD-00080,2026-06-23,C1173,Small Business,Central,Toronto,Accessories,Keyboard,2,73.27,0.05,139.21,56.0,83.21,Online,Credit Card,5
